MAPEAMENTO DOS 100 ITENS

Os 74 primeiros itens vieram da lista informada, após a remoção de duplicatas exatas.
Os 26 últimos foram adicionados para completar 100 itens.

001 | Área externa | Tábua de passar roupa | R$ 164,00 | imagem: imagens/item-001.png | QR: qrcodes/item-001.png | LISTA INFORMADA
002 | Área externa | Kit para churrasco | R$ 289,19 | imagem: imagens/item-002.png | QR: qrcodes/item-002.png | LISTA INFORMADA
003 | Área externa | Cota 1 Paredinha escalada | R$ 752,18 | imagem: imagens/item-003.png | QR: qrcodes/item-003.png | LISTA INFORMADA
004 | Área externa | Cota 2 Paredinha escalada | R$ 752,18 | imagem: imagens/item-004.png | QR: qrcodes/item-004.png | LISTA INFORMADA
005 | Área externa | Cota Pedra da pia externa | R$ 820,99 | imagem: imagens/item-005.png | QR: qrcodes/item-005.png | LISTA INFORMADA
006 | Área externa | Cadeiras área externa (4) | R$ 859,16 | imagem: imagens/item-006.png | QR: qrcodes/item-006.png | LISTA INFORMADA
007 | Área externa | Cota Mesa área externa em alumínio e madeira | R$ 908,99 | imagem: imagens/item-007.png | QR: qrcodes/item-007.png | LISTA INFORMADA
008 | Banheiro | Chuveiro | R$ 150,00 | imagem: imagens/item-008.png | QR: qrcodes/item-008.png | LISTA INFORMADA
009 | Banheiro | Cota Gabinete do banheiro | R$ 343,32 | imagem: imagens/item-009.png | QR: qrcodes/item-009.png | LISTA INFORMADA
010 | Cozinha | Jogo de Taça Água e Vinho Bohemia Gastro | R$ 130,00 | imagem: imagens/item-010.png | QR: qrcodes/item-010.png | LISTA INFORMADA
011 | Cozinha | Cota armários da cozinha | R$ 150,00 | imagem: imagens/item-011.png | QR: qrcodes/item-011.png | LISTA INFORMADA
012 | Cozinha | Faqueiro INox 36 peças tramontina | R$ 176,00 | imagem: imagens/item-012.png | QR: qrcodes/item-012.png | LISTA INFORMADA
013 | Cozinha | Jogo de 6 bowls PortoBrasil Biolatte | R$ 189,21 | imagem: imagens/item-013.png | QR: qrcodes/item-013.png | LISTA INFORMADA
014 | Cozinha | Abridor de vinho elétrico Oster | R$ 260,00 | imagem: imagens/item-014.png | QR: qrcodes/item-014.png | LISTA INFORMADA
015 | Cozinha | Cota armários da cozinha | R$ 300,00 | imagem: imagens/item-015.png | QR: qrcodes/item-015.png | LISTA INFORMADA
016 | Cozinha | Purificador de água Eletrolux | R$ 389,90 | imagem: imagens/item-016.png | QR: qrcodes/item-016.png | LISTA INFORMADA
017 | Cozinha | Jogo de panelas cerâmica Brinox | R$ 449,99 | imagem: imagens/item-017.png | QR: qrcodes/item-017.png | LISTA INFORMADA
018 | Cozinha | Cota armários da cozinha | R$ 500,00 | imagem: imagens/item-018.png | QR: qrcodes/item-018.png | LISTA INFORMADA
019 | Cozinha | Cota armários da cozinha | R$ 650,00 | imagem: imagens/item-019.png | QR: qrcodes/item-019.png | LISTA INFORMADA
020 | Cozinha | Cota armários da cozinha | R$ 800,00 | imagem: imagens/item-020.png | QR: qrcodes/item-020.png | LISTA INFORMADA
021 | Cozinha | Aparelho de jantar 30 peças PortoBrasil Biolatte | R$ 1.169,90 | imagem: imagens/item-021.png | QR: qrcodes/item-021.png | LISTA INFORMADA
022 | Eletrodomésticos | Sanduicheira Grill Britânia | R$ 129,00 | imagem: imagens/item-022.png | QR: qrcodes/item-022.png | LISTA INFORMADA
023 | Eletrodomésticos | Ferro de passar a vapor e a seco Eletrolux | R$ 229,00 | imagem: imagens/item-023.png | QR: qrcodes/item-023.png | LISTA INFORMADA
024 | Eletrodomésticos | Mixer Multifuncional 3 em 1 Black Oster | R$ 249,90 | imagem: imagens/item-024.png | QR: qrcodes/item-024.png | LISTA INFORMADA
025 | Eletrodomésticos | Aspirador de pó Vertical Oster Stick | R$ 339,90 | imagem: imagens/item-025.png | QR: qrcodes/item-025.png | LISTA INFORMADA
026 | Eletrodomésticos | Tanquinho 10kg | R$ 502,55 | imagem: imagens/item-026.png | QR: qrcodes/item-026.png | LISTA INFORMADA
027 | Eletrodomésticos | Micro-ondas | R$ 529,00 | imagem: imagens/item-027.png | QR: qrcodes/item-027.png | LISTA INFORMADA
